date,step,type,K-with epifluidics
,57.81822999999894,预测,13.313096
,57.83489999999894,预测,13.321058
,57.85156999999894,预测,13.325697
,57.868239999998934,预测,13.332424
,57.88490999999893,预测,13.341302
,57.90157999999893,预测,13.347729
,57.91824999999893,预测,13.355803
,57.934919999998925,预测,13.365469
,57.95158999999892,预测,13.373014
,57.96825999999892,预测,13.381083
,57.98492999999892,预测,13.384531
,58.001599999998916,预测,13.396484
,58.018269999998914,预测,13.405521
,58.03493999999891,预测,13.415102
,58.05160999999891,预测,13.421268
,58.06827999999891,预测,13.4265995
,58.084949999998905,预测,13.440622
,58.1016199999989,预测,13.44283
,58.1182899999989,预测,13.446133
,58.1349599999989,预测,13.458714
,58.151629999998896,预测,13.464132
,58.168299999998894,预测,13.473808
,58.18496999999889,预测,13.477869
,58.20163999999889,预测,13.490562
,58.21830999999889,预测,13.49461
,58.234979999998885,预测,13.504795
,58.25164999999888,预测,13.510956
,58.26831999999888,预测,13.5207205
,58.28498999999888,预测,13.529528
,58.301659999998876,预测,13.537066
,58.31832999999887,预测,13.544939
,58.33499999999887,预测,13.550829
,58.35166999999887,预测,13.557437
,58.36833999999887,预测,13.565761
,58.385009999998864,预测,13.574659
,58.40167999999886,预测,13.584966
,58.41834999999886,预测,13.588409
,58.43501999999886,预测,13.590668
,58.451689999998855,预测,13.599297
,58.46835999999885,预测,13.612474
,58.48502999999885,预测,13.621804
,58.50169999999885,预测,13.630229
,58.518369999998846,预测,13.636731
,58.535039999998844,预测,13.642807
,58.55170999999884,预测,13.651457
,58.56837999999884,预测,13.65687
,58.58504999999884,预测,13.6687
,58.601719999998835,预测,13.674105
,58.61838999999883,预测,13.682621
,58.63505999999883,预测,13.685134
,58.65172999999883,预测,13.69875
,58.668399999998826,预测,13.708027
,58.685069999998824,预测,13.712991
,58.70173999999882,预测,13.71665
,58.71840999999882,预测,13.73045
,58.73507999999882,预测,13.738983
,58.751749999998815,预测,13.747715
58.8,58.76841999999881,预测,13.75117
,58.78508999999881,预测,13.757902
,58.80175999999881,预测,13.771057
,58.818429999998806,预测,13.77458
,58.8350999999988,预测,13.781343
,58.8517699999988,预测,13.786556
,58.8684399999988,预测,13.798257
,58.8851099999988,预测,13.806115
,58.901779999998794,预测,13.816043
,58.91844999999879,预测,13.818708
,58.93511999999879,预测,13.833512
,58.95178999999879,预测,13.837236
,58.968459999998785,预测,13.842628
,58.98512999999878,预测,13.85062
,59.00179999999878,预测,13.8601265
,59.01846999999878,预测,13.870029
,59.035139999998776,预测,13.870811
,59.051809999998774,预测,13.880775
,59.06847999999877,预测,13.893448
,59.08514999999877,预测,13.899111
,59.10181999999877,预测,13.904766
,59.118489999998765,预测,13.914995
,59.13515999999876,预测,13.919252
,59.15182999999876,预测,13.931726
,59.16849999999876,预测,13.93309
,59.185169999998756,预测,13.947842
,59.201839999998754,预测,13.957199
,59.21850999999875,预测,13.956278
,59.23517999999875,预测,13.967993
,59.25184999999875,预测,13.976446
,59.268519999998745,预测,13.985331
,59.28518999999874,预测,13.990606
,59.30185999999874,预测,13.9975195
,59.31852999999874,预测,14.004327
